Date : 2026-08-04 12:46:31
Directory : d:\dptui\mm (1)\SDF
Total : 1705 files,  510249 codes, 114883 comments, 72432 blanks, all 697564 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\asm\aes_ccm_x86_64.S                                                                      | Assembly         |        194 |          0 |         11 |        205 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\asm\aes_gcm_16block_aarch64.S                                                             | Assembly         |        160 |          0 |         15 |        175 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\asm\aes_gcm_16block_x86_64.S                                                              | Assembly         |        259 |          0 |         43 |        302 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\asm\aes_gcm_64block_aarch64.S                                                             | Assembly         |        312 |          0 |         22 |        334 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\asm\aes_gcm_64block_x86_64.S                                                              | Assembly         |        428 |          0 |         28 |        456 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\asm\aes_gcm_96block_x86_64.S                                                              | Assembly         |        835 |          0 |         47 |        882 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\asm\aes_gcm_common_aarch64.S                                                              | Assembly         |        488 |          0 |         22 |        510 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\asm\ghash_armv8.S                                                                         | Assembly         |        171 |          0 |         35 |        206 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\asm\ghash_x86_64.S                                                                        | Assembly         |        319 |          0 |         43 |        362 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\asm\poly1305_armv8.S                                                                      | Assembly         |        877 |          0 |        108 |        985 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\asm\poly1305_x86_64.S                                                                     | Assembly         |        289 |          0 |         28 |        317 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\asm\poly1305_x86_64_avx2.S                                                                | Assembly         |        336 |          0 |         40 |        376 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\asm\poly1305_x86_64_avx512.S                                                              | Assembly         |        618 |          0 |         75 |        693 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\asm\poly1305_x86_64_macro.s                                                               | Assembly         |        324 |          0 |         31 |        355 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\asm_aes_cbc.c                                                                             | C                |         51 |         14 |          7 |         72 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\asm_aes_ccm.c                                                                             | C                |         50 |         14 |          9 |         73 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\asm_aes_ccm.h                                                                             | C++              |         20 |         14 |          9 |         43 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\asm_aes_cfb.c                                                                             | C                |         66 |         19 |         10 |         95 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\asm_aes_ctr.c                                                                             | C                |         64 |         17 |          6 |         87 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\asm_aes_ecb.c                                                                             | C                |         43 |         14 |          7 |         64 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\asm_aes_gcm.c                                                                             | C                |        102 |         20 |          7 |        129 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\asm_aes_gcm.h                                                                             | C++              |         19 |         14 |          5 |         38 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\asm_aes_xts.c                                                                             | C                |         41 |         14 |          7 |         62 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\asm_sm4_cbc.c                                                                             | C                |         39 |         14 |          8 |         61 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\asm_sm4_cfb.c                                                                             | C                |         54 |         14 |          7 |         75 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\asm_sm4_ctr.c                                                                             | C                |         54 |         17 |          7 |         78 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\asm_sm4_ecb.c                                                                             | C                |         47 |         14 |          8 |         69 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\asm_sm4_gcm.c                                                                             | C                |        126 |         16 |         11 |        153 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\asm_sm4_ofb_armv8.c                                                                       | C                |         13 |         14 |          6 |         33 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\asm_sm4_ofb_x86_64.c                                                                      | C                |         35 |         14 |          6 |         55 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\asm_sm4_setkey.c                                                                          | C                |         24 |         14 |          4 |         42 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\asm_sm4_xts.c                                                                             | C                |         55 |         14 |          7 |         76 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\ccm_core.h                                                                                | C++              |         16 |         14 |          8 |         38 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\modes.c                                                                                   | C                |        565 |         30 |         61 |        656 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\modes_aes_wrap.c                                                                          | C                |        409 |         24 |         39 |        472 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\modes_cbc.c                                                                               | C                |        211 |         22 |         25 |        258 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\modes_ccm.c                                                                               | C                |        512 |        105 |         48 |        665 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\modes_cfb.c                                                                               | C                |        505 |         42 |         48 |        595 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\modes_chacha20_poly1305.c                                                                 | C                |        373 |         82 |         34 |        489 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\modes_ctr.c                                                                               | C                |        128 |         22 |         14 |        164 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\modes_ecb.c                                                                               | C                |        186 |         15 |         15 |        216 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\modes_gcm.c                                                                               | C                |        485 |         73 |         42 |        600 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\modes_hctr.c                                                                              | C                |        462 |         25 |         93 |        580 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\modes_local.h                                                                             | C++              |        148 |         20 |         33 |        201 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\modes_ofb.c                                                                               | C                |        108 |         16 |         13 |        137 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\modes_xts.c                                                                               | C                |        516 |         27 |         53 |        596 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\noasm_aes_cbc.c                                                                           | C                |         13 |         14 |          4 |         31 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\noasm_aes_ccm.c                                                                           | C                |          9 |         14 |          3 |         26 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\noasm_aes_cfb.c                                                                           | C                |          8 |         14 |          3 |         25 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\noasm_aes_ctr.c                                                                           | C                |          9 |         14 |          4 |         27 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\noasm_aes_ecb.c                                                                           | C                |         13 |         14 |          6 |         33 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\noasm_aes_gcm.c                                                                           | C                |          8 |         14 |          3 |         25 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\noasm_aes_xts.c                                                                           | C                |         12 |         14 |          5 |         31 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\noasm_ghash.c                                                                             | C                |         71 |         23 |          9 |        103 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\noasm_poly1305.c                                                                          | C                |        114 |         45 |         17 |        176 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\noasm_sm4_cbc.c                                                                           | C                |         18 |         14 |          8 |         40 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\noasm_sm4_cfb.c                                                                           | C                |         14 |         14 |          5 |         33 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\noasm_sm4_ctr.c                                                                           | C                |         14 |         14 |          5 |         33 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\noasm_sm4_ecb.c                                                                           | C                |         18 |         14 |          7 |         39 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\noasm_sm4_gcm.c                                                                           | C                |         14 |         14 |          5 |         33 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\noasm_sm4_hctr.c                                                                          | C                |         17 |         14 |          7 |         38 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\noasm_sm4_ofb.c                                                                           | C                |         14 |         14 |          6 |         34 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\noasm_sm4_setkey.c                                                                        | C                |         14 |         32 |          6 |         52 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\noasm_sm4_xts.c                                                                           | C                |         17 |         14 |          4 |         35 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\modes\src\poly1305_core.h                                                                           | C++              |         21 |         14 |         11 |         46 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\paillier\CMakeLists.txt                                                                             | CMake            |         26 |          0 |          7 |         33 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\paillier\include\crypt_paillier.h                                                                   | C++              |         51 |        329 |         34 |        414 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\paillier\src\paillier_encdec.c                                                                      | C                |        430 |         26 |         66 |        522 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\paillier\src\paillier_keygen.c                                                                      | C                |        478 |         15 |         66 |        559 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\paillier\src\paillier_keyop.c                                                                       | C                |        294 |         15 |         29 |        338 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\paillier\src\paillier_local.h                                                                       | C++              |         60 |         14 |         13 |         87 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\pbkdf2\CMakeLists.txt                                                                               | CMake            |         27 |          0 |          7 |         34 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\pbkdf2\include\crypt_pbkdf2.h                                                                       | C++              |         23 |         74 |         16 |        113 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\pbkdf2\src\pbkdf2.c                                                                                 | C                |        414 |         29 |         40 |        483 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\pbkdf2\src\pbkdf2_local.h                                                                           | C++              |         18 |         33 |         10 |         61 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\CMakeLists.txt                                                                             | CMake            |        129 |          0 |          9 |        138 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\include\crypt_default_provderimpl.h                                                        | C++              |        371 |         19 |         22 |        412 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\include\crypt_provider.h                                                                   | C++              |         47 |         15 |         17 |         79 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\cmvp_utils\cmvp.c                                                                 | C                |        130 |         14 |         13 |        157 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\cmvp_utils\cmvp_common.c                                                          | C                |        194 |         18 |         22 |        234 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\cmvp_utils\cmvp_common.h                                                          | C++              |         25 |         14 |         12 |         51 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\cmvp_utils\cmvp_integrity_hmac.c                                                  | C                |         93 |         17 |         16 |        126 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\cmvp_utils\cmvp_integrity_hmac.h                                                  | C++              |         15 |         16 |          7 |         38 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\cmvp_utils\cmvp_randomness.c                                                      | C                |        158 |         26 |         17 |        201 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\cmvp_utils\cmvp_selftest_chacha20poly1305.c                                       | C                |        115 |         15 |         15 |        145 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\cmvp_utils\cmvp_selftest_cipher.c                                                 | C                |        629 |         64 |         24 |        717 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\cmvp_utils\cmvp_selftest_dh.c                                                     | C                |        234 |         16 |         21 |        271 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\cmvp_utils\cmvp_selftest_drbg.c                                                   | C                |        455 |         44 |         34 |        533 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\cmvp_utils\cmvp_selftest_dsa.c                                                    | C                |        199 |         19 |         26 |        244 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\cmvp_utils\cmvp_selftest_ecdh.c                                                   | C                |        136 |         15 |         16 |        167 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\cmvp_utils\cmvp_selftest_ecdsa.c                                                  | C                |        178 |         19 |         25 |        222 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\cmvp_utils\cmvp_selftest_ed25519.c                                                | C                |         92 |         15 |         14 |        121 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\cmvp_utils\cmvp_selftest_hkdf.c                                                   | C                |         80 |         15 |         11 |        106 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\cmvp_utils\cmvp_selftest_kdftls12.c                                               | C                |         81 |         15 |         10 |        106 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\cmvp_utils\cmvp_selftest_mac.c                                                    | C                |        246 |         44 |         18 |        308 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\cmvp_utils\cmvp_selftest_md.c                                                     | C                |        154 |         38 |         17 |        209 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\cmvp_utils\cmvp_selftest_mldsa.c                                                  | C                |        131 |         19 |         20 |        170 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\cmvp_utils\cmvp_selftest_mlkem.c                                                  | C                |        137 |         18 |         20 |        175 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\cmvp_utils\cmvp_selftest_pbkdf2.c                                                 | C                |         98 |         15 |         11 |        124 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\cmvp_utils\cmvp_selftest_pct.c                                                    | C                |        124 |         14 |         22 |        160 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\cmvp_utils\cmvp_selftest_rsa.c                                                    | C                |        411 |         22 |         38 |        471 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\cmvp_utils\cmvp_selftest_scrypt.c                                                 | C                |         80 |         15 |          9 |        104 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\cmvp_utils\cmvp_selftest_slhdsa.c                                                 | C                |        131 |         18 |         17 |        166 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\cmvp_utils\cmvp_selftest_sm2.c                                                    | C                |        459 |         16 |         82 |        557 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\cmvp_utils\cmvp_selftest_x25519.c                                                 | C                |        114 |         15 |         18 |        147 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\cmvp_utils\crypt_cmvp.h                                                           | C++              |         62 |         14 |         12 |         88 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\iso_prov\cmvp_iso19790.c                                                          | C                |        529 |         58 |         43 |        630 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\iso_prov\cmvp_iso19790.h                                                          | C++              |         24 |         14 |         14 |         52 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\iso_prov\crypt_iso_cipher.c                                                       | C                |        261 |         14 |         25 |        300 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\iso_prov\crypt_iso_cmvp.c                                                         | C                |         93 |         14 |         14 |        121 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\iso_prov\crypt_iso_kdf.c                                                          | C                |        296 |         20 |         26 |        342 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\iso_prov\crypt_iso_kem.c                                                          | C                |         46 |         14 |          7 |         67 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\iso_prov\crypt_iso_keyexch.c                                                      | C                |         62 |         14 |          9 |         85 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\iso_prov\crypt_iso_keymgmt.c                                                      | C                |        935 |         14 |         61 |      1,010 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\iso_prov\crypt_iso_mac.c                                                          | C                |        218 |         14 |         23 |        255 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\iso_prov\crypt_iso_md.c                                                           | C                |        343 |         14 |         20 |        377 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\iso_prov\crypt_iso_pkeycipher.c                                                   | C                |         60 |         14 |          9 |         83 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\iso_prov\crypt_iso_provderimpl.h                                                  | C++              |         72 |         19 |         21 |        112 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\iso_prov\crypt_iso_provider.c                                                     | C                |        377 |         14 |         42 |        433 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\iso_prov\crypt_iso_provider.h                                                     | C++              |         30 |         19 |         11 |         60 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\iso_prov\crypt_iso_rand.c                                                         | C                |        179 |         14 |         16 |        209 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\iso_prov\crypt_iso_selftest.c                                                     | C                |        174 |         14 |         17 |        205 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\iso_prov\crypt_iso_selftest.h                                                     | C++              |         18 |         19 |         11 |         48 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\iso_prov\crypt_iso_sign.c                                                         | C                |        202 |         14 |         24 |        240 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\sm_prov\cmvp_sm.c                                                                 | C                |        196 |         22 |         30 |        248 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\sm_prov\cmvp_sm.h                                                                 | C++              |         23 |         14 |         13 |         50 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\sm_prov\crypt_sm_cipher.c                                                         | C                |        125 |         14 |         12 |        151 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\sm_prov\crypt_sm_cmvp.c                                                           | C                |         95 |         14 |         13 |        122 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\sm_prov\crypt_sm_decode.c                                                         | C                |         71 |         14 |          9 |         94 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\sm_prov\crypt_sm_kdf.c                                                            | C                |        113 |         15 |         14 |        142 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\sm_prov\crypt_sm_keyexch.c                                                        | C                |         11 |         14 |          4 |         29 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\sm_prov\crypt_sm_keymgmt.c                                                        | C                |         71 |         14 |          8 |         93 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\sm_prov\crypt_sm_mac.c                                                            | C                |         65 |         14 |          8 |         87 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\sm_prov\crypt_sm_md.c                                                             | C                |         47 |         14 |          6 |         67 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\sm_prov\crypt_sm_pkeycipher.c                                                     | C                |         12 |         14 |          4 |         30 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\sm_prov\crypt_sm_provderimpl.h                                                    | C++              |         44 |         19 |         20 |         83 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\sm_prov\crypt_sm_provider.c                                                       | C                |        419 |         14 |         47 |        480 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\sm_prov\crypt_sm_provider.h                                                       | C++              |         24 |         19 |         10 |         53 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\sm_prov\crypt_sm_rand.c                                                           | C                |        206 |         25 |         18 |        249 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\sm_prov\crypt_sm_selftest.c                                                       | C                |         37 |         14 |          7 |         58 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\sm_prov\crypt_sm_selftest.h                                                       | C++              |         14 |         19 |          8 |         41 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\cmvp\sm_prov\crypt_sm_sign.c                                                           | C                |         31 |         14 |          6 |         51 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\default\crypt_default_cipher.c                                                         | C                |        290 |         14 |         18 |        322 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\default\crypt_default_decode.c                                                         | C                |        401 |         14 |         38 |        453 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\default\crypt_default_kdf.c                                                            | C                |         83 |         14 |          9 |        106 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\default\crypt_default_kem.c                                                            | C                |         44 |         14 |          5 |         63 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\default\crypt_default_keyexch.c                                                        | C                |         32 |         14 |          7 |         53 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\default\crypt_default_keymgmt.c                                                        | C                |        536 |         14 |         27 |        577 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\default\crypt_default_mac.c                                                            | C                |        136 |         14 |         10 |        160 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\default\crypt_default_md.c                                                             | C                |        244 |         14 |         17 |        275 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\default\crypt_default_pkeycipher.c                                                     | C                |         41 |         14 |          7 |         62 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\default\crypt_default_provider.c                                                       | C                |      1,381 |         16 |         32 |      1,429 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\default\crypt_default_provider.h                                                       | C++              |         17 |         19 |          9 |         45 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\default\crypt_default_rand.c                                                           | C                |         89 |         18 |          6 |        113 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\default\crypt_default_sign.c                                                           | C                |        136 |         14 |         15 |        165 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\mgr\crypt_provider.c                                                                   | C                |        457 |         29 |         49 |        535 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\mgr\crypt_provider_common.c                                                            | C                |        294 |         24 |         29 |        347 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\mgr\crypt_provider_compare.c                                                           | C                |        387 |         32 |         55 |        474 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\provider\src\mgr\crypt_provider_local.h                                                             | C++              |         43 |         20 |         11 |         74 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\rsa\CMakeLists.txt                                                                                  | CMake            |         27 |          0 |          7 |         34 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\rsa\include\crypt_rsa.h                                                                             | C++              |        143 |        503 |         60 |        706 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\rsa\src\rsa_blinding.c                                                                              | C                |        116 |         28 |         17 |        161 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\rsa\src\rsa_ctrl.c                                                                                  | C                |        576 |         26 |         36 |        638 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\rsa\src\rsa_encdec.c                                                                                | C                |      1,098 |         61 |         76 |      1,235 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\rsa\src\rsa_keygen.c                                                                                | C                |      1,251 |        113 |         85 |      1,449 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\rsa\src\rsa_keyop.c                                                                                 | C                |        769 |         67 |         50 |        886 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\rsa\src\rsa_local.h                                                                                 | C++              |        154 |         75 |         32 |        261 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\rsa\src\rsa_padding.c                                                                               | C                |        806 |        137 |         83 |      1,026 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\scrypt\CMakeLists.txt                                                                               | CMake            |         27 |          0 |          7 |         34 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\scrypt\include\crypt_scrypt.h                                                                       | C++              |         30 |         92 |         18 |        140 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\scrypt\src\scrypt.c                                                                                 | C                |        441 |         46 |         63 |        550 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\sha1\CMakeLists.txt                                                                                 | CMake            |         34 |          0 |          8 |         42 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\sha1\include\crypt_sha1.h                                                                           | C++              |         43 |        119 |         24 |        186 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\sha1\src\asm\sha1_armv8.S                                                                           | Assembly         |        550 |          0 |         85 |        635 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\sha1\src\asm\sha1_x86_64.S                                                                          | Assembly         |        664 |          0 |         59 |        723 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\sha1\src\noasm_sha1.c                                                                               | C                |        151 |         22 |         22 |        195 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\sha1\src\noasm_sha1_small.c                                                                         | C                |         85 |         22 |         20 |        127 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\sha1\src\sha1.c                                                                                     | C                |        204 |         29 |         39 |        272 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\sha1\src\sha1_core.h                                                                                | C++              |         14 |         14 |          9 |         37 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\sha2\CMakeLists.txt                                                                                 | CMake            |         49 |          0 |          7 |         56 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\sha2\include\crypt_sha2.h                                                                           | C++              |        145 |        503 |         63 |        711 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\sha2\src\asm\sha2_256_armv8.S                                                                       | Assembly         |        721 |          0 |        106 |        827 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\sha2\src\asm\sha2_256_x86_64.S                                                                      | Assembly         |        590 |          0 |         55 |        645 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\sha2\src\asm\sha2_512_armv8.S                                                                       | Assembly         |        266 |          0 |         45 |        311 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\sha2\src\asm\sha2_512_x86_64.S                                                                      | Assembly         |        481 |          0 |         36 |        517 |
| d:\dptui\mm (1)\SDF\openhitls\crypto\sha2\src\noasm_sha256.c                                                                             | C                |         95 |         25 |         15 |        135 |
